  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   1.00000   1.00000   0.00000   0.00000   0.00000   0.10000   0.00000
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.770184      6.452025      6.452025      6.452025      7.701835
      0.771657      6.449186      6.449186      6.449186      7.716570
      0.773129      6.446284      6.446284      6.446284      7.731291
      0.774600      6.443320      6.443320      6.443320      7.745998
      0.776069      6.440293      6.440293      6.440293      7.760691
      0.777537      6.437205      6.437205      6.437205      7.775370
      0.779004      6.434054      6.434054      6.434054      7.790035
      0.780469      6.430842      6.430842      6.430842      7.804686
      0.781932      6.427569      6.427569      6.427569      7.819324
      0.783395      6.424235      6.424235      6.424235      7.833948
      0.784856      6.420840      6.420840      6.420840      7.848558
      0.786316      6.417385      6.417385      6.417385      7.863155
      0.787774      6.413869      6.413869      6.413869      7.877738
      0.789231      6.410294      6.410294      6.410294      7.892308
      0.790686      6.406658      6.406658      6.406658      7.906864
      0.792141      6.402963      6.402963      6.402963      7.921407
      0.793594      6.399209      6.399209      6.399209      7.935937
      0.795045      6.395396      6.395396      6.395396      7.950453
      0.796496      6.391525      6.391525      6.391525      7.964956
      0.797945      6.387595      6.387595      6.387595      7.979446
      0.799392      6.383606      6.383606      6.383606      7.993923
      0.800839      6.379560      6.379560      6.379560      8.008386
      0.802284      6.375456      6.375456      6.375456      8.022837
      0.803727      6.371294      6.371294      6.371294      8.037274
      0.805170      6.367076      6.367076      6.367076      8.051699
      0.806611      6.362800      6.362800      6.362800      8.066111
      0.808051      6.358467      6.358467      6.358467      8.080509
      0.809490      6.354078      6.354078      6.354078      8.094895
      0.810927      6.349633      6.349633      6.349633      8.109269
      0.812363      6.345132      6.345132      6.345132      8.123629
      0.813798      6.340575      6.340575      6.340575      8.137977
      0.815231      6.335962      6.335962      6.335962      8.152312
      0.816663      6.331294      6.331294      6.331294      8.166635
      0.818094      6.326571      6.326571      6.326571      8.180945
      0.819524      6.321793      6.321793      6.321793      8.195242
      0.820953      6.316961      6.316961      6.316961      8.209528
      0.822380      6.312074      6.312074      6.312074      8.223800
      0.823806      6.307133      6.307133      6.307133      8.238060
      0.825231      6.302138      6.302138      6.302138      8.252308
      0.826654      6.297089      6.297089      6.297089      8.266544
      0.828077      6.291987      6.291987      6.291987      8.280767
      0.829498      6.286831      6.286831      6.286831      8.294979
      0.830918      6.281623      6.281623      6.281623      8.309178
      0.832336      6.276362      6.276362      6.276362      8.323365
      0.833754      6.271048      6.271048      6.271048      8.337540
      0.835170      6.265682      6.265682      6.265682      8.351702
      0.836585      6.260263      6.260263      6.260263      8.365853
      0.837999      6.254793      6.254793      6.254793      8.379992
      0.839412      6.249271      6.249271      6.249271      8.394119
      0.840823      6.243698      6.243698      6.243698      8.408234
      0.842234      6.238073      6.238073      6.238073      8.422337
      0.843643      6.232398      6.232398      6.232398      8.436429
      0.845051      6.226671      6.226671      6.226671      8.450508
      0.846458      6.220894      6.220894      6.220894      8.464576
      0.847863      6.215067      6.215067      6.215067      8.478633
      0.849268      6.209189      6.209189      6.209189      8.492677
      0.850671      6.203262      6.203262      6.203262      8.506710
      0.852073      6.197285      6.197285      6.197285      8.520732
      0.853474      6.191258      6.191258      6.191258      8.534742
      0.854874      6.185182      6.185182      6.185182      8.548740
      0.856273      6.179057      6.179057      6.179057      8.562727
      0.857670      6.172882      6.172882      6.172882      8.576703
      0.859067      6.166660      6.166660      6.166660      8.590667
      0.860462      6.160388      6.160388      6.160388      8.604620
      0.861856      6.154069      6.154069      6.154069      8.618561
      0.863249      6.147701      6.147701      6.147701      8.632491
      0.864641      6.141285      6.141285      6.141285      8.646411
      0.866032      6.134822      6.134822      6.134822      8.660318
      0.867422      6.128312      6.128312      6.128312      8.674215
      0.868810      6.121754      6.121754      6.121754      8.688101
      0.870198      6.115149      6.115149      6.115149      8.701975
      0.871584      6.108497      6.108497      6.108497      8.715839
