  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      7.358260      0.545620  11958.736901     97.422427     33.055512      5.456203
      7.393762      0.547374  12369.998139     98.081798     33.245701      5.473739
      7.429264      0.549125  12794.516886     98.741295     33.435895      5.491247
      7.464766      0.550873  13232.692501     99.400915     33.626094      5.508727
      7.500269      0.552618  13684.935543    100.060653     33.816297      5.526179
      7.535771      0.554360  14151.668059    100.720507     34.006505      5.543604
      7.571273      0.556100  14633.323884    101.380473     34.196717      5.561002
      7.606775      0.557837  15130.348948    102.040548     34.386933      5.578372
      7.642277      0.559572  15643.201584    102.700729     34.577153      5.595715
      7.677779      0.561303  16172.352853    103.361012     34.767377      5.613032
      7.713281      0.563032  16718.286869    104.021395     34.957605      5.630322
      7.748784      0.564758  17281.501133    104.681874     35.147837      5.647585
      7.784286      0.566482  17862.506883    105.342447     35.338072      5.664822
      7.819788      0.568203  18461.829436    106.003112     35.528310      5.682033
      7.855290      0.569922  19080.008558    106.663865     35.718552      5.699218
      7.890792      0.571638  19717.598824    107.324704     35.908797      5.716376
      7.926294      0.573351  20375.170000    107.985627     36.099045      5.733510
      7.961796      0.575062  21053.307427    108.646630     36.289297      5.750617
      7.997299      0.576770  21752.612419    109.307713     36.479551      5.767700
      8.032801      0.578476  22473.702662    109.968872     36.669808      5.784756
      8.068303      0.580179  23217.212633    110.630105     36.860068      5.801788
      8.103805      0.581880  23983.794020    111.291410     37.050330      5.818795
      8.139307      0.583578  24774.116158    111.952786     37.240595      5.835777
      8.174809      0.585273  25588.866469    112.614229     37.430863      5.852735
      8.210311      0.586967  26428.750920    113.275739     37.621133      5.869668
      8.245814      0.588658  27294.494484    113.937313     37.811405      5.886576
      8.281316      0.590346  28186.841616    114.598949     38.001680      5.903460
      8.316818      0.592032  29106.556738    115.260646     38.191957      5.920320
      8.352320      0.593716  30054.424739    115.922402     38.382236      5.937157
      8.387822      0.595397  31031.251480    116.584215     38.572517      5.953969
      8.423324      0.597076  32037.864316    117.246083     38.762800      5.970758
      8.458827      0.598752  33075.112630    117.908006     38.953085      5.987523
      8.494329      0.600426  34143.868374    118.569981     39.143372      6.004264
      8.529831      0.602098  35245.026628    119.232007     39.333661      6.020982
      8.565333      0.603768  36379.506169    119.894082     39.523951      6.037678
      8.600835      0.605435  37548.250054    120.556206     39.714244      6.054350
      8.636337      0.607100  38752.226214    121.218376     39.904538      6.070999
      8.671839      0.608763  39992.428067    121.880592     40.094833      6.087625
      8.707342      0.610423  41269.875137    122.542852     40.285130      6.104229
